year,competition_name,event_name,final_group,crew_name,organization,rank,time
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final B,仙台大学,仙台大学,2,05:55.36
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final B,東京大学,東京大学,3,06:01.28
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final B,一橋大学,一橋大学,4,06:03.89
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final B,同志社大学,同志社大学,5,06:04.31
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final B,東北大学,東北大学,6,06:12.08
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final A,NTT東日本,NTT東日本,1,05:45.48
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final A,明治安田生命,明治安田生命,2,05:49.23
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final A,東レ滋賀,東レ滋賀,3,05:50.86
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final A,日本大学,日本大学,4,05:55.54
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final A,早稲田大学,早稲田大学,5,05:58.97
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final A,慶應義塾大学,慶應義塾大学,6,06:05.29
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子エイト,Final A,日本体育大学,日本体育大学,1,07:08.20
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子エイト,Final A,仙台大学,仙台大学,2,07:09.58
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子エイト,Final A,立教大学,立教大学,3,07:15.45
